Candidate,Party_ID,Party,Votes
ABDÜLHADI KRASNIÇ,102,KDTP - Kosova Demokratik Türk Partisi,918
ABDÜLHADI KRASNIÇ,102,KDTP - KOSOVA DEMOKRATIK TÜRK PARTISI,33
ADRIJANA HODŽIĆ,128,ADRIJANA HODŽIC,717
AFIDE KUKA,61,LËVIZJA VETËVENDOSJE!,1179
AGIM ALIU,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,19007
AGIM BAHTIRI,89,AKR - ALEANCA KOSOVA E RE,6483
AGIM ÇEKU,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,9382
AGIM DEVA,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,1204
AGIM VELIU,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,19871
AGRON KUÇI,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,1209
AJNISHAHE HALIMI,61,LËVIZJA VETËVENDOSJE!,1145
ALBAN KRASNIQI,61,LËVIZJA VETËVENDOSJE!,1090
ALI BERISHA,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,15269
ALI HALIMI,61,LËVIZJA VETËVENDOSJE!,548
ARBËR REXHAJ,61,LËVIZJA VETËVENDOSJE!,4464
ARBERIJE NAGAVCI,61,LËVIZJA VETËVENDOSJE!,830
ARDIAN SEJDIU,70,Partia e Drejtësisë - PD,845
ARDIAN SEJDIU,70,PARTIA E DREJTËSISË - PD,12
ARDIAN SELISHTA,61,LËVIZJA VETËVENDOSJE!,491
ARIF BÜTÜÇ,90,KTAP - KOSOVA TÜRK ADALET PARTISI,1199
ARSIM BELEGU,89,AKR - ALEANCA KOSOVA E RE,160
ARTON SMAILI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,157
AVDULLA GASHI,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,111
AVDULLAH KLINAKU,70,Partia e Drejtësisë - PD,1210
AVDULLAH KLINAKU,70,PARTIA E DREJTËSISË - PD,31
AVNI GASHI,89,AKR - ALEANCA KOSOVA E RE,512
AVNI KASTRATI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,12608
AVNI TAFILI,70,Partia e Drejtësisë - PD,817
AVNI TAFILI,70,PARTIA E DREJTËSISË - PD,9
BAJRAM MULAKU,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,11838
BAJRAM TËRSHANI,70,Partia e Drejtësisë - PD,260
BAJRAM TËRSHANI,70,PARTIA E DREJTËSISË - PD,8
BAJRUSH YMERI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,1659
BALI MUHARREMAJ,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,9248
BARDHYL MJAKU,89,AKR - ALEANCA KOSOVA E RE,495
BASHKIM FAZLIU,112,NISMA QYTETARE PËR FERIZAJ,696
BASHKIM KRASNIQI,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,353
BASRI DEMIRI,75,ALEANCA PËR LIPJANIN,1581
BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,6071
BENI KIZOLLI,63,PK - PARTIA KONSERVATORE E KOSOVËS,2491
BEQIR FEJZULLAHU,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,888
BESIM ILAZI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,8056
BESNIK TAHIRI,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,3763
BILALL HADERGJONAJ,61,LËVIZJA VETËVENDOSJE!,676
BLAGOJE NEDELJKOVIĆ,123,DEMOKRATSKA INICIJATIVA,940
BLEDI KURTISHI,61,LËVIZJA VETËVENDOSJE!,231
BLERIM BAJRAKTARAJ,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,5555
BLERIM HALABAKU,89,AKR - ALEANCA KOSOVA E RE,474
BOJAN NAKALAMIĆ,67,NOVA SNAGA,296
BOJAN STOJANOVIĆ,108,SAVEZ KOSOVSKIH SRBA,3611
BRANIMIR STOJANOVIĆ,126,G.I.SRPSKA,4996
BRANISLAV BOŽOVIĆ,67,NOVA SNAGA,68
BRATISLAV NIKOLIĆ,130,Samostalna Liberalna Stranka - SLS,3064
BRATISLAV NIKOLIĆ,130,SAMOSTALNA LIBERALNA STRANKA - SLS,67
BURIM BERISHA,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,9382
CENË BEHRAMI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,437
DERVISH ÇADRAKU,61,LËVIZJA VETËVENDOSJE!,847
DIMITRIJE JANIĆIJEVIĆ,130,Samostalna Liberalna Stranka - SLS,130
DIMITRIJE JANIĆIJEVIĆ,130,SAMOSTALNA LIBERALNA STRANKA - SLS,4
DONIKA KADAJ-BUJUPI,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,5789
DRAGAN JABLANOVIĆ,126,G.I.SRPSKA,2225
DRAGAN NIKOLIĆ,126,G.I.SRPSKA,917
DRAGIŠA KRSTOVIĆ,130,Samostalna Liberalna Stranka - SLS,521
DRAGIŠA KRSTOVIĆ,130,SAMOSTALNA LIBERALNA STRANKA - SLS,17
EMANUEL DEMAJ,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),355
EMANUEL DEMAJ,55,PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS (PSHDK),10
ENVER ADEMI,61,LËVIZJA VETËVENDOSJE!,1367
ENVER BERISHA,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,4575
EQREM KRYEZIU,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,16888
FADIL GASHI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,4463
FADIL KRYEZIU,85,NISMA QYTETARE PËR PRIZRENIN,456
FADIL SOFTA,111,ADK - ALTERNATIVA DEMOKRATIKE E KOSOVËS,697
FAHREDIN SHEHU,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,5512
FARUK MUJKA,61,LËVIZJA VETËVENDOSJE!,2259
FATMIR MATOSHI,89,AKR - ALEANCA KOSOVA E RE,3466
FATMIR MEHMETI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,4613
FATMIR ZYMERI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,2870
FATON BISLIMI,56,KOALICIONI PËR GJILANIN,1622
FATON TOPALLI,61,LËVIZJA VETËVENDOSJE!,4166
FILIP BERISHA,87,PDKI - Partia Demokristiane Për Integrim,99
FILIP BERISHA,87,PDKI - PARTIA DEMOKRISTIANE PËR INTEGRIM,0
